grande_area,area,sub_area,espec
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,,,
CIENCIAS_DA_SAUDE,,,
ENGENHARIAS,Projetos de Máquinas,Projetos de Máquinas,
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,,,
ENGENHARIAS,Materiais e Processos para Engenharia Aeronáutica e Aeroespacial,Materiais e Processos para Engenharia Aeronáutica e Aeroespacial,
ENGENHARIAS,Processos de Fabricação,Processos de Fabricação,
ENGENHARIAS,,,
ENGENHARIAS,Processos de Fabricação,Processos de Fabricação,
ENGENHARIAS,,,
CIENCIAS_HUMANAS,,,
CIENCIAS_HUMANAS,Geografia Humana,Geografia Humana,
CIENCIAS_HUMANAS,Geografia Humana,Geografia Humana,Geografia Política
CIENCIAS_HUMANAS,Geografia Humana,Geografia Humana,
CIENCIAS_HUMANAS,Geografia Humana,Geografia Humana,História do Pensamento Geográfico
ENGENHARIAS,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Eletrônica Industrial\, Sistemas e Controles Eletrônicos,Controle de Processos Eletrônicos\, Retroalimentação
CIENCIAS_EXATAS_E_DA_TERRA,,,
CIENCIAS_HUMANAS,,,
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,
ENGENHARIAS,,,
ENGENHARIAS,Sistemas Elétricos de Potência,Sistemas Elétricos de Potência,
CIENCIAS_AGRARIAS,Ciência do Solo,Ciência do Solo,Fertilidade do Solo e Adubação
CIENCIAS_AGRARIAS,Ciência do Solo,Ciência do Solo,Fertilidade do Solo e Adubação
CIENCIAS_AGRARIAS,Ciência do Solo,Ciência do Solo,Nutrição Mineral de Plantas
CIENCIAS_AGRARIAS,Ciência do Solo,Ciência do Solo,Química do Solo
CIENCIAS_EXATAS_E_DA_TERRA,Instrumentação Astronômica,Instrumentação Astronômica,
CIENCIAS_EXATAS_E_DA_TERRA,Instrumentação Astronômica,Instrumentação Astronômica,
CIENCIAS_EXATAS_E_DA_TERRA,,,
ENGENHARIAS,Projetos de Máquinas,Projetos de Máquinas,Máquinas\, Motores e Equipamentos
LINGUISTICA_LETRAS_E_ARTES,Literatura Comparada,Literatura Comparada,
LINGUISTICA_LETRAS_E_ARTES,Teoria Literária,Teoria Literária,
LINGUISTICA_LETRAS_E_ARTES,Semiótica da Literatura,Semiótica da Literatura,
CIENCIAS_SOCIAIS_APLICADAS,Semiótica da Literatura,Semiótica da Literatura,
LINGUISTICA_LETRAS_E_ARTES,Teoria Literária,Teoria Literária,
LINGUISTICA_LETRAS_E_ARTES,Semiótica da Cultura,Semiótica da Cultura,
ENGENHARIAS,Compósitos,Compósitos,Sinterização Com Reação
ENGENHARIAS,Compósitos,Compósitos,Microestruturas
CIENCIAS_EXATAS_E_DA_TERRA,Metodologia e Técnicas da Computação,Metodologia e Técnicas da Computação,Banco de Dados
CIENCIAS_AGRARIAS,,,
CIENCIAS_HUMANAS,,,
CIENCIAS_HUMANAS,,,
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,Química dos Produtos Naturais
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,Química dos Produtos Naturais
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,Síntese Orgânica
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,Química dos Produtos Naturais
CIENCIAS_EXATAS_E_DA_TERRA,Química Orgânica,Química Orgânica,
CIENCIAS_EXATAS_E_DA_TERRA,Sistemas de Computação,Sistemas de Computação,Arquitetura de Sistemas de Computação
